"pupil","class","extrav","sex","texp","popular","popteach","Zextrav","Zsex","Ztexp","Zpopular","Zpopteach","Cextrav","Ctexp","Csex"
"1",1,1,5,1,24,6.3,6,-0.170314900016734,0.988812544054697,1.48615282515864,0.885013272883953,0.669056088451199,-0.215,9.737,0.5
"2",2,1,7,0,24,4.9,5,1.41400975130173,-1.010808374155,1.48615282515864,-0.12762910547209,-0.0430845059620013,1.785,9.737,-0.5
"3",3,1,4,1,24,5.3,6,-0.962477225675968,0.988812544054697,1.48615282515864,0.161697288343922,0.669056088451199,-1.215,9.737,0.5
"4",4,1,3,1,24,4.7,5,-1.7546395513352,0.988812544054697,1.48615282515864,-0.272292302380096,-0.0430845059620013,-2.215,9.737,0.5
"5",5,1,5,1,24,6,6,-0.170314900016734,0.988812544054697,1.48615282515864,0.668018477521944,0.669056088451199,-0.215,9.737,0.5
"6",6,1,4,0,24,4.7,5,-0.962477225675968,-1.010808374155,1.48615282515864,-0.272292302380096,-0.0430845059620013,-1.215,9.737,-0.5
"7",7,1,5,0,24,5.9,5,-0.170314900016734,-1.010808374155,1.48615282515864,0.595686879067941,-0.0430845059620013,-0.215,9.737,-0.5
"8",8,1,4,0,24,4.2,5,-0.962477225675968,-1.010808374155,1.48615282515864,-0.633950294650111,-0.0430845059620013,-1.215,9.737,-0.5
"9",9,1,5,0,24,5.2,5,-0.170314900016734,-1.010808374155,1.48615282515864,0.0893656898899194,-0.0430845059620013,-0.215,9.737,-0.5
"10",10,1,5,0,24,3.9,3,-0.170314900016734,-1.010808374155,1.48615282515864,-0.850945090012121,-1.4673656947884,-0.215,9.737,-0.5
"11",11,1,5,1,24,5.7,5,-0.170314900016734,0.988812544054697,1.48615282515864,0.451023682159935,-0.0430845059620013,-0.215,9.737,0.5
"12",12,1,5,1,24,4.8,5,-0.170314900016734,0.988812544054697,1.48615282515864,-0.199960703926093,-0.0430845059620013,-0.215,9.737,0.5
"13",13,1,5,0,24,5,5,-0.170314900016734,-1.010808374155,1.48615282515864,-0.0552975070180869,-0.0430845059620013,-0.215,9.737,-0.5
"14",14,1,5,1,24,5.5,6,-0.170314900016734,0.988812544054697,1.48615282515864,0.306360485251928,0.669056088451199,-0.215,9.737,0.5
